date,distance,count,time,speed,WD,year
2019-03-01,362212.22000000585,226318,41112.54999999991,0.15567320507515678,True,2019
2019-03-02,349583.050000001,207508,34796.77277777759,0.17480723170659723,False,2019
2019-03-03,297379.66999999987,176899,27132.25388888919,0.18943122238035773,False,2019
2019-03-04,267616.1400000028,165347,25506.541388889204,0.1818766476193576,True,2019
2019-03-05,343726.3200000007,216254,40227.69388888907,0.15333601431073976,True,2019
2019-03-06,362139.4499999917,230474,43874.96944444461,0.14934882758046425,True,2019
2019-03-07,373013.2699999977,233609,44784.177222222286,0.15003538130419314,True,2019
2019-03-08,370498.2299999971,229483,43920.49638888859,0.15094877793872455,True,2019
2019-03-09,379371.69999999803,222746,40808.274444444265,0.16707210181549276,False,2019
2019-03-10,302248.5600000014,179957,28550.14666666601,0.1850967743692484,False,2019
2019-03-11,303090.19000000565,186958,32816.52666666655,0.16496203002656573,True,2019
2019-03-12,346835.82999999705,216701,40145.23305555545,0.15533837381613863,True,2019
2019-03-13,352620.6599999997,217783,40761.842777777834,0.15511663506761142,True,2019
2019-03-14,364946.32000000635,223636,42972.706944444595,0.15303992386136242,True,2019
2019-03-15,371305.1000000018,228988,42668.44666666598,0.15475574237683282,True,2019
2019-03-16,365873.7300000014,216657,39512.7891666667,0.1671952444165623,False,2019
2019-03-17,297671.370000003,174507,28008.19972222251,0.18872657014749272,False,2019
2019-03-18,285447.64999999676,174885,29176.526388888673,0.17265468650946433,True,2019
2019-03-19,309893.9999999965,190143,34094.641111111734,0.16256780236339372,True,2019
2019-03-20,323876.3199999923,199234,36186.59444444454,0.16063491433440955,True,2019
2019-03-21,343425.01000000164,219755,42936.53611111034,0.14593777486138804,True,2019
2019-03-22,351161.4399999981,219637,40252.345833333915,0.1555062814574013,True,2019
2019-03-23,350901.6500000044,208296,36106.01083333423,0.1725527488811997,False,2019
2019-03-24,281579.230000003,161926,26754.9030555555,0.18705328057144271,False,2019
2019-03-25,271307.9599999965,165787,27567.206666666978,0.17320338074193942,True,2019
2019-03-26,312753.29000000365,191333,34638.43472222242,0.16195100211463767,True,2019
2019-03-27,323749.23000000214,199121,37048.38138888976,0.15771873446632775,True,2019
2019-03-28,338907.3700000011,207010,39107.030555555364,0.15561708765943313,True,2019
2019-03-29,337559.9699999973,205805,38684.406111111006,0.1557125915898713,True,2019
2019-03-30,351979.91000000515,203266,37028.7463888888,0.17028010107085467,False,2019
2019-03-31,297438.68999999785,175453,27576.62222222208,0.18755384263329689,False,2019
2019-04-01,295521.42000000307,183105,31276.432222222844,0.16725593363528674,True,2019
2019-04-02,334906.4900000028,206765,37937.33194444379,0.1576081360699582,True,2019
2019-04-03,343597.6700000014,210134,39694.442500000354,0.15572806837538677,True,2019
2019-04-04,360200.4699999992,220122,42551.40388888856,0.15231671828414126,True,2019
2019-04-05,373347.0299999961,236201,46030.70055555557,0.14594565673681756,True,2019
2019-04-06,366088.30000000604,212947,38603.48638888947,0.1704938903859371,False,2019
2019-04-07,302523.7300000017,172263,27891.653611111156,0.19064479121817057,False,2019
2019-04-08,295924.9900000055,179925,30782.872777778248,0.16991008325943818,True,2019
2019-04-09,341034.6800000012,210168,38530.06333333328,0.15788223346235997,True,2019
2019-04-10,341100.0999999992,208889,39209.80833333301,0.15617155404504451,True,2019
2019-04-11,356078.4099999892,219053,42084.848888888875,0.15229801770664517,True,2019
2019-04-12,359474.62000000384,225239,42693.43055555523,0.15011659767334046,True,2019
2019-04-13,369651.0199999973,213972,38487.16500000032,0.17132530325400017,False,2019
2019-04-14,309759.979999999,176887,28952.75777777822,0.18914173089118755,False,2019
2019-04-15,317940.28000000294,198508,35237.23805555539,0.16262538361144752,True,2019
2019-04-16,332266.1699999995,203217,39201.092222222345,0.1534688269539436,True,2019
2019-04-17,348382.7699999934,214045,41898.729722222044,0.15064946327162987,True,2019
2019-04-18,345335.02999999915,213265,42761.57527777782,0.1477284843525129,True,2019
2019-04-19,326406.5999999993,196191,34123.70500000024,0.1688726028993662,True,2019
2019-04-20,295442.9200000003,173590,29018.51888888877,0.1811461362088946,False,2019
2019-04-21,255202.27,144621,21692.584999999683,0.2040964460040781,False,2019
2019-04-22,272101.9800000014,168263,30116.694444444507,0.16179272005701087,True,2019
2019-04-23,310542.33999999816,187886,34830.52861111137,0.16004293823226146,True,2019
2019-04-24,317713.3100000006,192837,36940.592500000166,0.15616364706312505,True,2019
2019-04-25,346222.6699999994,212438,41505.4991666663,0.15160720965153193,True,2019
2019-04-26,318945.95999999664,199522,38441.272777778104,0.15319151111456494,True,2019
2019-04-27,342253.8600000017,201901,36266.08916666709,0.1715586726582874,False,2019
2019-04-28,301605.01999999495,173237,27373.529999999602,0.19329570951409433,False,2019
2019-04-29,296416.9000000006,180549,31366.399999999867,0.16770486104044,True,2019
2019-04-30,330966.50999999646,202505,38099.984999999906,0.1558756387909473,True,2019
2020-03-01,240008.9899999968,140114,21613.266666666663,0.19213894073110235,False,2020
2020-03-02,255976.79999999455,154453,26784.231111111116,0.16776942733857386,True,2020
2020-03-03,295878.06000000064,182237,34338.11916666696,0.15246855192477551,True,2020
2020-03-04,310331.42000000377,187143,35691.33027777748,0.1546044739443909,True,2020
2020-03-05,331382.48000000254,198590,38000.52444444364,0.15436876565623417,True,2020
2020-03-06,320573.04000000074,199674,38621.679166666414,0.14749889918580736,True,2020
2020-03-07,294671.3900000046,172409,29932.315277778154,0.17388545984623963,False,2020
2020-03-08,225812.15999999936,128643,19419.580833333173,0.19989394598678542,False,2020
